Classifier,Latitude,Longitude,Z_value
5,31.5717605,253.7943855,330.406504
5,31.57198417,253.7941632,214.7642277
5,31.626113,253.740369,237.8926829
5,31.62096852,253.7454817,413.00813
5,31.63013911,253.7363678,151.9869919
5,31.56169522,253.8043886,161.899187
5,31.62790238,253.7385907,142.0747967
5,31.6540721,253.7125827,185.0276423
5,31.73526535,253.6318914,46.25691056
5,31.60016695,253.7661547,413.00813
5,31.56415562,253.8019434,46.25691056
5,31.7265421,253.6405607,145.3788618
5,31.56303726,253.8030548,294.0617886
5,31.65697985,253.709693,218.0682927
5,31.69321485,253.673682,244.500813
5,31.59658819,253.7697113,525.3463415
5,31.69656994,253.6703476,317.1902441
5,31.65228272,253.7143611,178.4195122
5,31.57444457,253.791718,59.47317073
5,31.59390411,253.7723788,528.6504065
5,31.69187281,253.6750157,39.64878048
5,31.55252464,253.8135025,29.73658537
5,31.64020439,253.7263647,138.7707317
5,31.62588933,253.7405913,465.8731709
5,31.62096852,253.7454817,224.6764228
5,31.58450985,253.781715,406.3999999
5,31.71804254,253.6490078,33.0406504
5,31.6961226,253.6707922,188.3317073
5,31.66033494,253.7063586,264.3252033
5,31.59927226,253.7670438,419.6162602
5,31.61179794,253.7545956,479.0894308
5,31.62342893,253.7430365,19.82439024
5,31.6878467,253.6790169,16.5203252
5,31.54738016,253.8186151,85.90569105
5,31.60441673,253.7619311,343.6227643
5,31.58898331,253.7772692,264.3252033
5,31.71468744,253.6523421,188.3317073
5,31.64266479,253.7239195,439.4406503
5,31.70551686,253.661456,287.4536585
5,31.58764127,253.7786029,208.1560976
5,31.64244112,253.7241418,89.20975609
5,31.60911386,253.757263,138.7707317
5,31.71491112,253.6521198,72.68943089
5,31.64848028,253.71814,79.29756097
5,31.59681186,253.769489,270.9333333
5,31.63036278,253.7361455,122.2504065
5,31.70775359,253.6592331,109.0341463
5,31.55901115,253.807056,56.16910569
5,31.64691457,253.719696,419.6162602
5,31.58585189,253.7803812,99.12195121
5,31.65026967,253.7163617,373.3593495
5,31.60374572,253.762598,158.595122
5,31.5404463,253.8255061,168.5073171
5,31.53820957,253.827729,72.68943089
5,31.60016695,253.7661547,320.494309
5,31.57265519,253.7934963,175.1154472
